                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.78471,                0.97339,                 1.3282,                0.88342,                 0.7763,                0.84557,                0.62475,                 1.0248,                 1.2352,                 1.7291,               0.003763,               0.003763,               0.003763
                     65,                0.78314,                0.96945,                 1.3125,                0.89191,                0.76768,                0.84578,                0.62114,                 1.0369,                 1.2421,                 1.7224,               0.003664,               0.003664,               0.003664
                     66,                0.78243,                0.96971,                 1.3144,                0.86332,                0.77417,                0.84649,                 0.6259,                 1.0275,                 1.2237,                 1.7338,               0.003565,               0.003565,               0.003565
                     67,                0.77474,                 0.9533,                 1.3059,                0.85815,                0.78198,                0.84577,                0.62719,                 1.0255,                 1.2248,                 1.7197,               0.003466,               0.003466,               0.003466
                     68,                0.77353,                0.95909,                 1.3022,                0.85221,                   0.79,                0.84747,                0.62761,                  1.027,                 1.2186,                 1.7237,               0.003367,               0.003367,               0.003367
                     69,                0.76387,                0.94226,                 1.2969,                 0.8584,                0.78473,                0.84713,                0.62653,                 1.0258,                 1.2232,                 1.7177,               0.003268,               0.003268,               0.003268
                     70,                0.76392,                0.93943,                  1.295,                 0.8672,                0.78195,                0.84739,                0.62801,                 1.0241,                 1.2192,                 1.7105,               0.003169,               0.003169,               0.003169
                     71,                0.75634,                0.93104,                 1.2839,                0.86528,                0.78358,                0.84944,                0.62826,                 1.0247,                 1.2203,                 1.7075,                0.00307,                0.00307,                0.00307
                     72,                0.75289,                0.92885,                 1.2844,                 0.8739,                0.77407,                0.84948,                 0.6284,                 1.0262,                 1.2308,                 1.7282,               0.002971,               0.002971,               0.002971
                     73,                0.74757,                0.91535,                 1.2844,                0.85907,                0.78662,                0.85119,                0.63041,                 1.0264,                 1.2112,                 1.7408,               0.002872,               0.002872,               0.002872
                     74,                0.74176,                0.90498,                 1.2853,                0.85884,                0.78852,                0.85017,                0.62898,                 1.0281,                 1.2211,                 1.7559,               0.002773,               0.002773,               0.002773
                     75,                 0.7365,                0.90135,                 1.2709,                0.87578,                0.79089,                0.85012,                0.62894,                 1.0286,                 1.2154,                 1.7476,               0.002674,               0.002674,               0.002674
                     76,                0.73796,                  0.904,                  1.268,                0.86449,                0.78918,                0.85064,                0.62957,                 1.0282,                  1.209,                 1.7436,               0.002575,               0.002575,               0.002575
